time,04,09,20,21
4305,33.7,59.3,22.1,56.3
4310,33.4,59.0,22.1,56.0
4315,33.1,58.8,100.0,55.7
4320,32.9,58.5,100.0,55.5
4325,32.6,58.3,100.0,55.2
4330,32.3,58.0,100.0,54.9
4335,32.1,57.7,100.0,54.7
4340,31.8,57.5,100.0,54.4
4345,31.6,57.2,100.0,54.2
4350,31.3,56.9,100.0,53.9
4355,31.0,56.7,100.0,53.7
4360,30.8,56.4,100.0,53.4
4365,30.5,56.1,100.0,53.1
4370,30.2,55.9,100.0,52.9
4375,30.0,55.6,100.0,52.6
4380,29.7,55.4,100.0,52.4
4385,29.4,55.1,100.0,52.1
4390,29.2,54.8,100.0,51.8
4395,28.9,54.6,100.0,51.6
4400,28.6,54.3,100.0,51.3
4405,28.4,54.1,100.0,51.0
4410,28.1,53.8,100.0,50.8
4415,27.8,53.6,100.0,50.5
4420,27.6,53.3,100.0,50.3
4425,27.3,53.0,100.0,50.0
4430,27.1,52.8,100.0,49.7
4435,26.8,52.5,100.0,49.5
4440,26.5,52.2,100.0,49.2
4445,26.3,52.0,100.0,48.9
4450,26.0,51.7,100.0,48.7
4455,25.7,51.4,100.0,48.4
4460,25.5,51.2,100.0,48.1
4465,25.2,50.9,100.0,47.9
4470,24.9,50.7,100.0,47.6
4475,24.7,50.4,100.0,47.3
4480,24.4,50.1,100.0,47.1
4485,24.1,49.9,100.0,46.8
4490,23.9,49.6,100.0,46.6
4495,23.6,49.3,100.0,46.3
4500,23.4,49.1,100.0,46.0
4505,23.4,48.8,100.0,45.8
4510,23.4,48.5,100.0,45.5
4515,23.4,48.3,100.0,45.2
4520,23.4,48.0,100.0,45.0
4525,23.4,47.8,100.0,44.7
4530,23.4,47.5,100.0,44.4
4535,23.4,47.3,100.0,44.2
4540,23.4,47.0,100.0,44.0
4545,23.4,46.7,100.0,43.7
4550,23.4,46.5,100.0,43.4
4555,23.4,46.2,100.0,43.2
4560,99.9,46.0,100.0,42.9
4565,99.7,45.7,100.0,42.6
4570,99.4,45.4,100.0,42.4
4575,99.2,45.2,100.0,42.1
4580,98.9,44.9,100.0,41.8
4585,98.6,44.6,100.0,41.6
4590,98.4,44.4,100.0,41.3
4595,98.1,,100.0,41.0
4600,97.8,,100.0,40.8
4605,97.6,,100.0,40.5
4610,97.3,,100.0,40.3
4615,97.0,,100.0,40.0
4620,96.8,,100.0,39.7
4625,96.5,,100.0,39.5
4630,96.2,,100.0,39.2
4635,96.0,,100.0,39.0
4640,95.7,,100.0,38.7
4645,95.4,,100.0,38.4
4650,95.2,,100.0,38.2
4655,94.9,,100.0,37.9
4660,94.7,,100.0,37.6
4665,94.4,,100.0,37.4
4670,94.1,,100.0,37.1
4675,93.9,,100.0,36.8
4680,93.6,,100.0,36.6
4685,93.3,,100.0,36.3
4690,93.1,,100.0,36.0
4695,92.8,,100.0,35.8
4700,92.6,,100.0,35.5
4705,92.3,,100.0,35.2
4710,92.0,,100.0,35.0
4715,91.8,,100.0,34.7
4720,91.5,,100.0,34.5
4725,91.2,,100.0,34.2
4730,91.0,,100.0,34.0
4735,90.7,,99.9,33.7
4740,90.4,,99.6,33.4
4745,90.2,,,33.2
4750,89.9,,,32.9
4755,89.6,,,32.7
4760,89.4,,,32.4
4765,89.1,,,32.1
4770,88.9,,,31.9
4775,88.6,,,31.6
4780,88.3,,,31.3
4785,88.1,,,31.1
4790,87.8,,,30.8
4795,87.6,,,30.6
4800,87.3,,,30.3
4685,,,,30.0
4690,,,,29.8
4695,,,,29.5
4700,,,,29.2
4705,,,,29.0
4710,,,,28.7
4715,,,,28.4
4720,,,,28.2
4725,,,,27.9
4730,,,,27.6
4735,,,,27.4
4740,,,,27.1
4745,,,,26.9
4750,,,,26.6
4755,,,,26.3
4760,,,,26.1
4765,,,,25.8
4770,,,,25.5
4775,,,,25.3
4780,,,,25.0
4785,,,,24.7
4790,,,,24.5
4795,,,,24.2
4800,,,,23.9
